12/10/21,12:49:24,Omar,4,4
12/10/21,12:49:24,Tato,0,1
12/10/21,12:50:01,Tato,4,5
12/10/21,12:50:01,Omar,0,1
12/10/21,12:49:24,Omar,4,4
12/10/21,12:49:24,Tato,0,1
12/10/21,12:50:01,Tato,4,5
12/10/21,12:50:01,Omar,0,1
12/10/21,12:49:24,Omar,4,4
12/10/21,12:49:24,Tato,0,1
12/10/21,12:50:01,Tato,4,5
12/10/21,12:50:01,Omar,0,1
12/10/21,12:49:24,Omar,4,4
12/10/21,12:49:24,Tato,0,1
12/10/21,12:50:01,Tato,4,5
12/10/21,12:50:01,Omar,0,1
12/10/21,12:49:24,Omar,4,4
12/10/21,12:49:24,Tato,0,1
12/10/21,12:50:01,Tato,4,5
12/10/21,12:50:01,Omar,0,1
12/10/21,12:49:24,Pedro,4,4
12/10/21,12:49:24,Juan,0,1
12/10/21,12:50:01,Juan,4,5
12/10/21,12:50:01,Pedro,0,1
12/10/21,12:49:24,Omar,4,4
12/10/21,12:49:24,Juan,0,1
12/10/21,12:50:01,Rodolfo,4,5
12/10/21,12:50:01,Tato,0,1
12/10/21,12:49:24,Sofi,4,4
12/10/21,12:49:24,Luca,0,1
12/10/21,12:50:01,Rogelio,4,5
12/10/21,12:50:01,Gerardo,0,1
12/10/21,13:32:54,Omar,2,2
12/10/21,13:32:54,Tato,2,3
12/10/21,13:34:17,Tato,4,6
12/10/21,13:34:17,Omar,0,3
12/10/21,22:27:37,Paloma,3,4
12/10/21,22:27:37,Omar,1,3
12/10/21,22:29:18,Paloma,3,4
12/10/21,22:29:18,Omar,1,2
12/11/21,11:59:06,Omar,3,4
12/11/21,11:59:06,Tato,1,2
12/11/21,18:05:32,Omar,3,3
12/11/21,18:05:32,Tato,1,2
12/11/21,18:35:27,Omar,3,4
12/11/21,18:35:27,Tato,1,3
12/11/21,18:36:51,Tato,4,4
12/11/21,18:36:51,Omar,0,1
12/12/21,13:32:05,Juan,3,5
12/12/21,13:32:05,Luca,1,3
12/12/21,13:32:43,Luca,3,4
12/12/21,13:32:43,Mart,1,2
12/12/21,14:37:45,Luca,2,3
12/12/21,14:37:45,Pepota,0,1
